,Date,Negative,Neutral,Positive,Tweets_ago,Twitter_handle,compound
65,Thu Feb 08 22:19:18 +0000 2018,0.167,0.833,0.0,66,@CNN,-0.3818
66,Thu Feb 08 22:12:03 +0000 2018,0.095,0.905,0.0,67,@CNN,-0.25
67,Thu Feb 08 22:02:27 +0000 2018,0.0,1.0,0.0,68,@CNN,0.0
68,Thu Feb 08 21:49:19 +0000 2018,0.291,0.642,0.068,69,@CNN,-0.7845
69,Thu Feb 08 21:25:37 +0000 2018,0.084,0.916,0.0,70,@CNN,-0.2732
70,Thu Feb 08 21:19:08 +0000 2018,0.0,1.0,0.0,71,@CNN,0.0
71,Thu Feb 08 21:05:30 +0000 2018,0.153,0.847,0.0,72,@CNN,-0.5574
72,Thu Feb 08 21:02:19 +0000 2018,0.0,1.0,0.0,73,@CNN,0.0
73,Thu Feb 08 20:58:56 +0000 2018,0.267,0.658,0.074,74,@CNN,-0.6908
74,Thu Feb 08 20:44:32 +0000 2018,0.0,1.0,0.0,75,@CNN,0.0
75,Thu Feb 08 20:28:59 +0000 2018,0.0,1.0,0.0,76,@CNN,0.0
76,Thu Feb 08 20:12:19 +0000 2018,0.099,0.901,0.0,77,@CNN,-0.3182
77,Thu Feb 08 20:03:59 +0000 2018,0.0,1.0,0.0,78,@CNN,0.0
78,Thu Feb 08 19:51:58 +0000 2018,0.0,1.0,0.0,79,@CNN,0.0
79,Thu Feb 08 19:51:45 +0000 2018,0.0,1.0,0.0,80,@CNN,0.0
80,Thu Feb 08 19:49:06 +0000 2018,0.0,1.0,0.0,81,@CNN,0.0
81,Thu Feb 08 19:47:46 +0000 2018,0.154,0.846,0.0,82,@CNN,-0.4767
82,Thu Feb 08 19:43:38 +0000 2018,0.0,1.0,0.0,83,@CNN,0.0
83,Thu Feb 08 19:40:06 +0000 2018,0.171,0.829,0.0,84,@CNN,-0.5106
84,Thu Feb 08 19:30:24 +0000 2018,0.0,1.0,0.0,85,@CNN,0.0
85,Thu Feb 08 19:20:13 +0000 2018,0.13,0.87,0.0,86,@CNN,-0.4019
86,Thu Feb 08 19:15:08 +0000 2018,0.174,0.826,0.0,87,@CNN,-0.6369
87,Thu Feb 08 19:10:10 +0000 2018,0.0,1.0,0.0,88,@CNN,0.0
88,Thu Feb 08 19:00:27 +0000 2018,0.0,1.0,0.0,89,@CNN,0.0
89,Thu Feb 08 18:54:30 +0000 2018,0.0,0.791,0.209,90,@CNN,0.7003
90,Thu Feb 08 18:50:04 +0000 2018,0.0,1.0,0.0,91,@CNN,0.0
91,Thu Feb 08 18:40:06 +0000 2018,0.326,0.674,0.0,92,@CNN,-0.7003
92,Thu Feb 08 18:30:23 +0000 2018,0.0,0.862,0.138,93,@CNN,0.4939
93,Thu Feb 08 18:20:14 +0000 2018,0.163,0.837,0.0,94,@CNN,-0.5423
94,Thu Feb 08 18:10:06 +0000 2018,0.0,0.711,0.289,95,@CNN,0.6908
95,Thu Feb 08 18:00:08 +0000 2018,0.0,0.785,0.215,96,@CNN,0.4767
96,Thu Feb 08 17:50:20 +0000 2018,0.182,0.818,0.0,97,@CNN,-0.5499
97,Thu Feb 08 17:40:20 +0000 2018,0.0,0.922,0.078,98,@CNN,0.1779
98,Thu Feb 08 17:30:05 +0000 2018,0.0,1.0,0.0,99,@CNN,0.0
99,Thu Feb 08 17:20:09 +0000 2018,0.2,0.8,0.0,100,@CNN,-0.5423
