,Date,Negative,Neutral,Positive,Tweets_ago,Twitter_handle,compound
66,Wed Feb 07 02:17:55 +0000 2018,0.0,0.722,0.278,67,@Fox,0.4019
67,Wed Feb 07 01:59:21 +0000 2018,0.0,0.46,0.54,68,@Fox,0.8553
68,Wed Feb 07 01:54:18 +0000 2018,0.231,0.769,0.0,69,@Fox,-0.0516
69,Wed Feb 07 01:53:21 +0000 2018,0.0,0.726,0.274,70,@Fox,0.7506
70,Wed Feb 07 01:46:56 +0000 2018,0.0,0.711,0.289,71,@Fox,0.8286
71,Wed Feb 07 00:16:02 +0000 2018,0.0,0.63,0.37,72,@Fox,0.8555
72,Wed Feb 07 00:14:57 +0000 2018,0.086,0.818,0.096,73,@Fox,0.0541
73,Tue Feb 06 22:56:05 +0000 2018,0.0,0.747,0.253,74,@Fox,0.7269
74,Tue Feb 06 22:55:50 +0000 2018,0.103,0.684,0.214,75,@Fox,0.3818
75,Tue Feb 06 22:46:26 +0000 2018,0.0,0.935,0.065,76,@Fox,0.1531
76,Tue Feb 06 21:23:29 +0000 2018,0.122,0.776,0.102,77,@Fox,-0.128
77,Tue Feb 06 20:57:24 +0000 2018,0.104,0.772,0.124,78,@Fox,0.128
78,Tue Feb 06 20:21:06 +0000 2018,0.0,0.885,0.115,79,@Fox,0.3818
79,Tue Feb 06 20:11:45 +0000 2018,0.0,1.0,0.0,80,@Fox,0.0
80,Tue Feb 06 10:06:27 +0000 2018,0.0,1.0,0.0,81,@Fox,0.0
81,Tue Feb 06 10:05:46 +0000 2018,0.0,1.0,0.0,82,@Fox,0.0
82,Tue Feb 06 08:48:17 +0000 2018,0.0,1.0,0.0,83,@Fox,0.0
83,Tue Feb 06 08:47:41 +0000 2018,0.0,1.0,0.0,84,@Fox,0.0
84,Tue Feb 06 08:47:17 +0000 2018,0.094,0.851,0.055,85,@Fox,-0.2273
85,Tue Feb 06 08:18:30 +0000 2018,0.428,0.572,0.0,86,@Fox,-0.8934
86,Tue Feb 06 08:10:08 +0000 2018,0.0,0.4,0.6,87,@Fox,0.6696
87,Tue Feb 06 07:03:00 +0000 2018,0.0,1.0,0.0,88,@Fox,0.0
88,Tue Feb 06 06:49:22 +0000 2018,0.0,1.0,0.0,89,@Fox,0.0
89,Tue Feb 06 06:48:56 +0000 2018,0.0,1.0,0.0,90,@Fox,0.0
90,Tue Feb 06 05:14:18 +0000 2018,0.162,0.759,0.078,91,@Fox,-0.4588
91,Tue Feb 06 05:09:41 +0000 2018,0.0,1.0,0.0,92,@Fox,0.0
92,Tue Feb 06 04:55:15 +0000 2018,0.118,0.681,0.201,93,@Fox,0.3182
93,Tue Feb 06 04:44:54 +0000 2018,0.0,1.0,0.0,94,@Fox,0.0
94,Tue Feb 06 03:50:02 +0000 2018,0.677,0.323,0.0,95,@Fox,-0.743
95,Tue Feb 06 03:21:52 +0000 2018,0.069,0.931,0.0,96,@Fox,-0.1027
96,Tue Feb 06 00:14:33 +0000 2018,0.149,0.851,0.0,97,@Fox,-0.1139
97,Tue Feb 06 00:14:24 +0000 2018,0.234,0.766,0.0,98,@Fox,-0.2808
98,Mon Feb 05 09:19:21 +0000 2018,0.0,1.0,0.0,99,@Fox,0.0
99,Mon Feb 05 00:57:41 +0000 2018,0.0,1.0,0.0,100,@Fox,0.0
