,Date,Negative,Neutral,Positive,Tweets_ago,Twitter_handle,compound
52,Sun Nov 26 09:56:16 +0000 2017,0.194,0.806,0.0,53,@BBC,-0.34
53,Sun Nov 26 09:53:51 +0000 2017,0.0,1.0,0.0,54,@BBC,0.0
54,Sun Nov 26 09:52:52 +0000 2017,0.0,0.766,0.234,55,@BBC,0.6997
55,Sun Nov 26 09:52:42 +0000 2017,0.0,0.846,0.154,56,@BBC,0.4753
56,Sun Nov 26 09:32:07 +0000 2017,0.0,0.829,0.171,57,@BBC,0.5423
57,Sun Nov 26 09:00:11 +0000 2017,0.109,0.891,0.0,58,@BBC,-0.296
58,Sun Nov 26 08:29:05 +0000 2017,0.0,0.8,0.2,59,@BBC,0.3612
59,Sun Nov 26 08:07:03 +0000 2017,0.221,0.779,0.0,60,@BBC,-0.6251
60,Sat Nov 25 20:35:04 +0000 2017,0.266,0.734,0.0,61,@BBC,-0.7845
61,Sat Nov 25 19:53:03 +0000 2017,0.178,0.682,0.14,62,@BBC,-0.25
62,Sat Nov 25 19:33:02 +0000 2017,0.0,1.0,0.0,63,@BBC,0.0
63,Sat Nov 25 18:30:06 +0000 2017,0.053,0.841,0.106,64,@BBC,0.296
64,Sat Nov 25 18:14:06 +0000 2017,0.0,1.0,0.0,65,@BBC,0.0
65,Sat Nov 25 17:30:42 +0000 2017,0.168,0.682,0.15,66,@BBC,-0.1027
66,Sat Nov 25 17:30:08 +0000 2017,0.0,1.0,0.0,67,@BBC,0.0
67,Sat Nov 25 17:25:18 +0000 2017,0.0,1.0,0.0,68,@BBC,0.0
68,Sat Nov 25 17:24:41 +0000 2017,0.0,0.717,0.283,69,@BBC,0.7964
69,Sat Nov 25 17:24:30 +0000 2017,0.225,0.775,0.0,70,@BBC,-0.4404
70,Sat Nov 25 17:22:44 +0000 2017,0.0,0.838,0.162,71,@BBC,0.4019
71,Sat Nov 25 17:00:05 +0000 2017,0.0,1.0,0.0,72,@BBC,0.0
72,Sat Nov 25 16:00:08 +0000 2017,0.0,0.861,0.139,73,@BBC,0.5267
73,Sat Nov 25 15:00:05 +0000 2017,0.116,0.718,0.166,74,@BBC,-0.0258
74,Sat Nov 25 14:00:16 +0000 2017,0.0,1.0,0.0,75,@BBC,0.0
75,Sat Nov 25 13:00:05 +0000 2017,0.073,0.85,0.077,76,@BBC,0.0258
76,Sat Nov 25 12:00:06 +0000 2017,0.0,0.827,0.173,77,@BBC,0.6361
77,Sat Nov 25 11:00:06 +0000 2017,0.0,1.0,0.0,78,@BBC,0.0
78,Sat Nov 25 10:23:33 +0000 2017,0.375,0.625,0.0,79,@BBC,-0.7184
79,Sat Nov 25 10:22:09 +0000 2017,0.147,0.853,0.0,80,@BBC,-0.4767
80,Sat Nov 25 10:21:21 +0000 2017,0.0,1.0,0.0,81,@BBC,0.0
81,Sat Nov 25 10:20:43 +0000 2017,0.0,1.0,0.0,82,@BBC,0.0
82,Sat Nov 25 10:19:13 +0000 2017,0.0,0.673,0.327,83,@BBC,0.8074
83,Sat Nov 25 10:00:05 +0000 2017,0.304,0.696,0.0,84,@BBC,-0.5423
84,Sat Nov 25 09:33:04 +0000 2017,0.163,0.837,0.0,85,@BBC,-0.5719
85,Sat Nov 25 08:59:04 +0000 2017,0.0,1.0,0.0,86,@BBC,0.0
86,Sat Nov 25 08:33:04 +0000 2017,0.0,0.905,0.095,87,@BBC,0.3182
87,Sat Nov 25 08:00:02 +0000 2017,0.0,1.0,0.0,88,@BBC,0.0
88,Fri Nov 24 22:09:43 +0000 2017,0.0,0.735,0.265,89,@BBC,0.6515
89,Fri Nov 24 22:09:10 +0000 2017,0.0,1.0,0.0,90,@BBC,0.0
90,Fri Nov 24 22:09:06 +0000 2017,0.0,0.864,0.136,91,@BBC,0.5826
91,Fri Nov 24 22:08:02 +0000 2017,0.0,0.753,0.247,92,@BBC,0.5574
92,Fri Nov 24 21:17:06 +0000 2017,0.0,0.856,0.144,93,@BBC,0.4019
93,Fri Nov 24 20:30:06 +0000 2017,0.0,1.0,0.0,94,@BBC,0.0
94,Fri Nov 24 20:00:03 +0000 2017,0.0,0.808,0.192,95,@BBC,0.2263
95,Fri Nov 24 19:35:04 +0000 2017,0.0,1.0,0.0,96,@BBC,0.0
96,Fri Nov 24 18:57:03 +0000 2017,0.0,0.917,0.083,97,@BBC,0.2023
97,Fri Nov 24 17:37:03 +0000 2017,0.231,0.769,0.0,98,@BBC,-0.5574
98,Fri Nov 24 17:20:10 +0000 2017,0.0,1.0,0.0,99,@BBC,0.0
99,Fri Nov 24 16:35:04 +0000 2017,0.0,0.888,0.112,100,@BBC,0.2263
