,Date,Negative,Neutral,Positive,Tweets_ago,Twitter_handle,compound
66,Wed Feb 07 13:00:06 +0000 2018,0.0,1.0,0.0,67,@BBC,0.0
67,Wed Feb 07 12:30:03 +0000 2018,0.0,0.834,0.166,68,@BBC,0.4926
68,Wed Feb 07 12:00:08 +0000 2018,0.0,1.0,0.0,69,@BBC,0.0
69,Wed Feb 07 11:33:04 +0000 2018,0.0,0.839,0.161,70,@BBC,0.4003
70,Wed Feb 07 11:26:32 +0000 2018,0.0,0.93,0.07,71,@BBC,0.128
71,Wed Feb 07 11:03:03 +0000 2018,0.0,1.0,0.0,72,@BBC,0.0
72,Wed Feb 07 10:04:58 +0000 2018,0.0,1.0,0.0,73,@BBC,0.0
73,Wed Feb 07 10:04:46 +0000 2018,0.0,1.0,0.0,74,@BBC,0.0
74,Wed Feb 07 09:54:53 +0000 2018,0.0,0.783,0.217,75,@BBC,0.5719
75,Wed Feb 07 09:00:04 +0000 2018,0.0,1.0,0.0,76,@BBC,0.0
76,Wed Feb 07 08:56:48 +0000 2018,0.0,1.0,0.0,77,@BBC,0.0
77,Wed Feb 07 08:56:27 +0000 2018,0.0,0.813,0.187,78,@BBC,0.4574
78,Wed Feb 07 08:54:57 +0000 2018,0.0,1.0,0.0,79,@BBC,0.0
79,Wed Feb 07 08:40:02 +0000 2018,0.0,1.0,0.0,80,@BBC,0.0
80,Wed Feb 07 08:20:03 +0000 2018,0.087,0.913,0.0,81,@BBC,-0.296
81,Wed Feb 07 08:00:08 +0000 2018,0.179,0.684,0.137,82,@BBC,0.0
82,Wed Feb 07 07:38:03 +0000 2018,0.112,0.637,0.251,83,@BBC,0.5423
83,Tue Feb 06 19:30:18 +0000 2018,0.0,1.0,0.0,84,@BBC,0.0
84,Tue Feb 06 19:30:05 +0000 2018,0.0,1.0,0.0,85,@BBC,0.0
85,Tue Feb 06 19:27:31 +0000 2018,0.0,0.906,0.094,86,@BBC,0.3612
86,Tue Feb 06 19:26:49 +0000 2018,0.0,0.818,0.182,87,@BBC,0.4389
87,Tue Feb 06 19:25:21 +0000 2018,0.28,0.618,0.102,88,@BBC,-0.7096
88,Tue Feb 06 19:25:15 +0000 2018,0.188,0.812,0.0,89,@BBC,-0.5719
89,Tue Feb 06 19:00:05 +0000 2018,0.0,1.0,0.0,90,@BBC,0.0
90,Tue Feb 06 18:30:03 +0000 2018,0.0,0.572,0.428,91,@BBC,0.8398
91,Tue Feb 06 18:00:06 +0000 2018,0.154,0.748,0.098,92,@BBC,-0.34
92,Tue Feb 06 17:30:08 +0000 2018,0.0,1.0,0.0,93,@BBC,0.0
93,Tue Feb 06 17:07:56 +0000 2018,0.0,0.852,0.148,94,@BBC,0.4184
94,Tue Feb 06 17:06:24 +0000 2018,0.0,0.842,0.158,95,@BBC,0.4588
95,Tue Feb 06 17:03:10 +0000 2018,0.0,1.0,0.0,96,@BBC,0.0
96,Tue Feb 06 16:47:54 +0000 2018,0.0,0.894,0.106,97,@BBC,0.2263
97,Tue Feb 06 16:42:26 +0000 2018,0.0,0.856,0.144,98,@BBC,0.5719
98,Tue Feb 06 16:39:58 +0000 2018,0.093,0.687,0.22,99,@BBC,0.5705
99,Tue Feb 06 15:12:23 +0000 2018,0.313,0.687,0.0,100,@BBC,-0.802
