,Date,Negative,Neutral,Positive,Tweets_ago,Twitter_handle,compound
64,Thu Feb 08 20:30:14 +0000 2018,0.0,0.882,0.118,65,@nytimes,0.34
65,Thu Feb 08 20:22:05 +0000 2018,0.0,1.0,0.0,66,@nytimes,0.0
66,Thu Feb 08 20:15:19 +0000 2018,0.0,0.859,0.141,67,@nytimes,0.4215
67,Thu Feb 08 20:08:31 +0000 2018,0.0,0.738,0.262,68,@nytimes,0.4939
68,Thu Feb 08 20:00:35 +0000 2018,0.0,0.904,0.096,69,@nytimes,0.2023
69,Thu Feb 08 19:48:51 +0000 2018,0.0,1.0,0.0,70,@nytimes,0.0
70,Thu Feb 08 19:45:17 +0000 2018,0.0,1.0,0.0,71,@nytimes,0.0
71,Thu Feb 08 19:42:23 +0000 2018,0.06,0.858,0.082,72,@nytimes,0.128
72,Thu Feb 08 19:37:04 +0000 2018,0.0,0.791,0.209,73,@nytimes,0.4404
73,Thu Feb 08 19:31:52 +0000 2018,0.231,0.769,0.0,74,@nytimes,-0.5994
74,Thu Feb 08 19:30:31 +0000 2018,0.0,1.0,0.0,75,@nytimes,0.0
75,Thu Feb 08 19:15:04 +0000 2018,0.172,0.749,0.079,76,@nytimes,-0.4767
76,Thu Feb 08 19:00:37 +0000 2018,0.0,0.777,0.223,77,@nytimes,0.694
77,Thu Feb 08 18:45:03 +0000 2018,0.298,0.702,0.0,78,@nytimes,-0.802
78,Thu Feb 08 18:37:12 +0000 2018,0.358,0.642,0.0,79,@nytimes,-0.8591
79,Thu Feb 08 18:30:42 +0000 2018,0.14,0.86,0.0,80,@nytimes,-0.4767
80,Thu Feb 08 18:15:15 +0000 2018,0.0,0.882,0.118,81,@nytimes,0.34
81,Thu Feb 08 18:00:27 +0000 2018,0.0,0.805,0.195,82,@nytimes,0.4404
82,Thu Feb 08 17:45:18 +0000 2018,0.0,1.0,0.0,83,@nytimes,0.0
83,Thu Feb 08 17:44:19 +0000 2018,0.0,0.948,0.052,84,@nytimes,0.0516
84,Thu Feb 08 17:36:19 +0000 2018,0.0,0.766,0.234,85,@nytimes,0.6696
85,Thu Feb 08 17:30:20 +0000 2018,0.1,0.717,0.183,86,@nytimes,0.3182
86,Thu Feb 08 17:15:20 +0000 2018,0.0,0.495,0.505,87,@nytimes,0.8481
87,Thu Feb 08 17:07:07 +0000 2018,0.0,0.854,0.146,88,@nytimes,0.4404
88,Thu Feb 08 17:00:24 +0000 2018,0.0,0.879,0.121,89,@nytimes,0.296
89,Thu Feb 08 16:45:12 +0000 2018,0.0,0.775,0.225,90,@nytimes,0.4404
90,Thu Feb 08 16:30:05 +0000 2018,0.0,0.833,0.167,91,@nytimes,0.5267
91,Thu Feb 08 16:24:26 +0000 2018,0.0,1.0,0.0,92,@nytimes,0.0
92,Thu Feb 08 16:15:10 +0000 2018,0.0,0.844,0.156,93,@nytimes,0.5719
93,Thu Feb 08 16:00:22 +0000 2018,0.0,1.0,0.0,94,@nytimes,0.0
94,Thu Feb 08 15:52:12 +0000 2018,0.0,0.898,0.102,95,@nytimes,0.3612
95,Thu Feb 08 15:45:10 +0000 2018,0.0,0.807,0.193,96,@nytimes,0.6486
96,Thu Feb 08 15:34:02 +0000 2018,0.0,0.92,0.08,97,@nytimes,0.0772
97,Thu Feb 08 15:30:50 +0000 2018,0.0,0.704,0.296,98,@nytimes,0.7096
98,Thu Feb 08 15:15:06 +0000 2018,0.0,1.0,0.0,99,@nytimes,0.0
99,Thu Feb 08 15:00:27 +0000 2018,0.0,1.0,0.0,100,@nytimes,0.0
